TheTime,CH0,CH1,CH2,CH3,CH4,CH5,CH6,CH7
42428.00020840,0.1595317,0.08035940,0.2393038,0.3286726,0.001187071,0.001187071,0.01498225,1.085008
42428.00032414,0.1607313,0.07616087,0.2369047,0.3316716,0.001187071,0.001187071,0.01438246,1.085008
42428.00043988,0.1637303,0.07676066,0.2399036,0.3286726,0.001187071,0.001187071,0.01258309,1.084408
42428.00055562,0.1613311,0.08095919,0.2411032,0.3322714,0.001187071,0.001187071,0.01378267,1.085008
42428.00067136,0.1595317,0.08395814,0.2423028,0.3298722,0.001187071,0.001187071,0.01258309,1.085008
42428.00078746,0.1601315,0.08335835,0.2429026,0.3316716,0.001187071,0.001786862,0.01258309,1.085008
42428.00090283,0.1613311,0.08035940,0.2417030,0.3274730,0.001187071,0.001187071,0.01318288,1.084408
42428.00101857,0.1613311,0.07915982,0.2405034,0.3310718,0.001187071,0.001187071,0.01438246,1.085008
42428.00113431,0.1607313,0.07856003,0.2393038,0.3298722,0.001187071,0.001786862,0.01198330,1.079010
42428.00125005,0.1625307,0.07736045,0.2381043,0.3298722,0.001786862,0.001187071,0.01078372,1.071213
42428.00136633,0.1619309,0.07496129,0.2369047,0.3280728,0.001187071,0.001187071,0.01078372,1.065815
42428.00148206,0.1649298,0.07196233,0.2357051,0.3316716,0.001187071,0.001187071,0.01198330,1.056818
42428.00159780,0.1661294,0.06836359,0.2327062,0.3280728,0.001187071,0.001187071,0.01258309,1.053219
42428.00171354,0.1625307,0.06896338,0.2303070,0.3310718,0.001187071,0.001187071,0.01198330,1.051420
42428.00182928,0.1577324,0.07496129,0.2327062,0.3292724,0.001187071,0.001187071,0.01138351,1.053219
42428.00194502,0.1595317,0.07556108,0.2339057,0.3280728,0.001187071,0.001187071,0.01078372,1.055619
42428.00206075,0.1619309,0.07436150,0.2351053,0.3280728,0.001187071,0.001187071,0.01018393,1.059817
42428.00217649,0.1577324,0.07856003,0.2357051,0.3322714,0.001187071,0.001187071,0.01078372,1.064016
42428.00229223,0.1541336,0.08275856,0.2363049,0.3298722,0.001187071,0.001786862,0.01198330,1.065215
42428.00240797,0.1553332,0.08215877,0.2369047,0.3316716,0.001187071,0.001187071,0.01558204,1.069414
42428.00252316,0.1553332,0.07796024,0.2333059,0.3322714,0.001187071,0.001187071,0.01438246,1.071213
42428.00263890,0.1565328,0.07496129,0.2315066,0.3292724,0.001187071,0.001786862,0.01258309,1.073612
42428.00275518,0.1565328,0.07676066,0.2321064,0.3292724,0.001187071,0.001187071,0.01498225,1.076611
42428.00287092,0.1565328,0.07856003,0.2333059,0.3316716,0.001187071,0.001187071,0.01618183,1.083209
42428.00298612,0.1559330,0.07796024,0.2333059,0.3286726,0.001187071,0.001187071,0.01498225,1.085008
42428.00310203,0.1559330,0.07736045,0.2333059,0.3316716,0.001187071,0.001187071,0.01498225,1.085608
42428.00321813,0.1565328,0.07676066,0.2321064,0.3292724,0.001187071,0.001187071,0.01558204,1.085008
42428.00333333,0.1571326,0.07556108,0.2315066,0.3286726,0.001187071,0.001187071,0.01678162,1.085008
42428.00344908,0.1583321,0.07556108,0.2321064,0.3304720,0.001187071,0.001187071,0.01618183,1.085008
42428.00356499,0.1559330,0.07736045,0.2333059,0.3286726,0.001187071,0.001187071,0.01678162,1.085008
42428.00368109,0.1541336,0.08275856,0.2363049,0.3298722,0.001187071,0.001187071,0.01738141,1.085008
42428.00379630,0.1547334,0.08575751,0.2399036,0.3322714,0.001786862,0.001187071,0.01798120,1.085008
42428.00391220,0.1553332,0.08515772,0.2399036,0.3298722,0.001187071,0.001187071,0.01678162,1.085008
42428.00402830,0.1583321,0.08035940,0.2393038,0.3322714,0.001187071,0.001786862,0.01618183,1.085008
42428.00414352,0.1625307,0.07796024,0.2393038,0.3286726,0.001187071,0.001187071,0.01498225,1.084408
42428.00425926,0.1589319,0.07915982,0.2387041,0.3310718,0.001187071,0.001187071,0.01498225,1.085008
42428.00437551,0.1571326,0.07915982,0.2351053,0.3310718,0.001786862,0.001187071,0.01558204,1.085008
42428.00449074,0.1595317,0.07496129,0.2333059,0.3316716,0.001187071,0.001187071,0.01738141,1.084408
42428.00460648,0.1613311,0.07676066,0.2375045,0.3322714,0.001187071,0.001187071,0.01798120,1.085008
42428.00472255,0.1613311,0.08035940,0.2417030,0.3286726,0.001187071,0.001786862,0.01618183,1.083209
42428.00483796,0.1613311,0.07915982,0.2399036,0.3286726,0.001187071,0.001187071,0.01438246,1.076611
42428.00495370,0.1589319,0.07975961,0.2381043,0.3322714,0.001187071,0.001187071,0.01378267,1.070014
42428.00506945,0.1571326,0.08035940,0.2375045,0.3304720,0.001187071,0.001187071,0.01318288,1.059217
42428.00518568,0.1559330,0.08155898,0.2363049,0.3286726,0.001187071,0.001187071,0.01258309,1.046622
42428.00530093,0.1553332,0.08155898,0.2363049,0.3292724,0.001786862,0.001187071,0.01498225,1.032826
42428.00541667,0.1547334,0.08035940,0.2339057,0.3310718,0.001187071,0.001187071,0.01378267,1.019031
42428.00553241,0.1553332,0.07616087,0.2303070,0.3310718,0.001786862,0.001187071,0.01138351,1.008835
42428.00564863,0.1529340,0.07376171,0.2255087,0.3322714,0.001786862,0.001187071,0.009584136,1.001637
42428.00576389,0.1499351,0.07856003,0.2279078,0.3298722,0.001786862,0.001187071,0.01018393,0.9950397
42428.00587963,0.1487355,0.08155898,0.2297072,0.3298722,0.001786862,0.001187071,0.009584136,0.9932403
42428.00599585,0.1463363,0.08215877,0.2267082,0.3316716,0.001187071,0.001786862,0.007784765,0.9872424
42428.00611122,0.1451368,0.07856003,0.2237093,0.3274730,0.001187071,0.001187071,0.003586233,0.9830439
42428.00622696,0.1451368,0.07975961,0.2237093,0.3304720,0.001187071,0.001187071,0.003586233,0.9770460
42428.00634270,0.1463363,0.07915982,0.2249089,0.3280728,0.001187071,0.001187071,0.004186023,0.9692487
42428.00645880,0.1469361,0.07676066,0.2225097,0.3310718,0.001187071,0.001187071,0.006585184,0.9632508
42428.00657418,0.1451368,0.07736045,0.2213101,0.3304720,0.001786862,0.001786862,0.004186023,0.9590523
42428.00668991,0.1427376,0.07796024,0.2201106,0.3286726,0.001187071,0.001786862,0.002386652,0.9572529
42428.00680601,0.1421378,0.07676066,0.2177114,0.3280728,0.001187071,0.001786862,0.001187071,0.9566531
42428.00692139,0.1415380,0.07975961,0.2201106,0.3304720,0.001187071,0.001187071,0.004785813,0.9590523
42428.00703713,0.1391389,0.08455793,0.2225097,0.3280728,0.001786862,0.001187071,0.002386652,0.9638506
42428.00715287,0.1373395,0.08335835,0.2201106,0.3280728,0.001187071,0.001187071,0.002986442,0.9692487
42428.00726896,0.1373395,0.08095919,0.2165118,0.3274730,0.001187071,0.001187071,0.005385604,0.9746468
42428.00738434,0.1361399,0.08035940,0.2177114,0.3322714,0.001187071,0.001187071,0.007184975,0.9812445
42428.00750008,0.1391389,0.07975961,0.2183112,0.3316716,0.001187071,0.001187071,0.005985394,0.9908412
42428.00761618,0.1403384,0.07796024,0.2183112,0.3280728,0.001187071,0.001786862,0.008384556,1.001038
42428.00773156,0.1403384,0.07915982,0.2189110,0.3298722,0.001187071,0.001187071,0.01018393,1.013033
42428.00784729,0.1385391,0.07975961,0.2195108,0.3292724,0.001187071,0.001187071,0.01078372,1.025629
42428.00796303,0.1397386,0.07856003,0.2183112,0.3286726,0.001786862,0.001187071,0.01138351,1.035226
42428.00807913,0.1403384,0.07975961,0.2207103,0.3304720,0.001187071,0.001187071,0.01378267,1.046022
42428.00819523,0.1397386,0.08395814,0.2225097,0.3292724,0.001187071,0.001187071,0.01438246,1.055019
42428.00831043,0.1385391,0.08335835,0.2219099,0.3286726,0.001187071,0.001187071,0.01318288,1.064016
42428.00842616,0.1403384,0.08035940,0.2201106,0.3286726,0.001786862,0.001187071,0.01498225,1.067614
42428.00854244,0.1427376,0.07975961,0.2225097,0.3286726,0.001187071,0.001187071,0.01558204,1.069414
42428.00865764,0.1403384,0.08455793,0.2243091,0.3310718,0.001187071,0.001187071,0.01618183,1.069414
