TheTime,CH6,CH7,output,CH0,CH1,CH2
42540.00011579,0.01738141,0.2620959,,-0.001202979,0.04917030,0.2411032
42540.00023154,0.01858099,0.2596967,,-0.001202979,0.04677114,0.2411032
42540.00034727,0.02038036,0.2566978,,-0.001202979,0.04677114,0.2435024
42540.00046301,0.02157994,0.2518994,,-0.001202979,0.05036988,0.2459015
42540.00057875,0.02277952,0.2477009,,-0.001202979,0.05096967,0.2447020
42540.00069449,0.02457890,0.2441022,,-0.001202979,0.05156946,0.2441022
42540.00081022,0.02697806,0.2435024,,-0.001202979,0.04977009,0.2423028
42540.00092596,0.02517869,0.2465013,,-3.916211e-07,0.04797072,0.2405034
42540.00104171,0.02157994,0.2542986,,-0.001202979,0.04917030,0.2423028
42540.00115744,0.01798120,0.2644950,,-0.001202979,0.04977009,0.2441022
42540.00127319,0.01618183,0.2800896,,-0.001202979,0.04977009,0.2453017
42540.00138892,0.01498225,0.2998827,,-0.001202979,0.05036988,0.2459015
42540.00150465,0.01258309,0.3160770,,-0.001202979,0.04977009,0.2453017
42540.00162039,0.01198330,0.3316716,,-0.001202979,0.04917030,0.2471011
42540.00173614,0.01198330,0.3442672,,-0.001202979,0.05156946,0.2512997
42540.00185188,0.01018393,0.3514646,,-0.001202979,0.05336883,0.2572976
42540.00196761,0.009584136,0.3562630,,-0.001202979,0.05216925,0.2584971
42540.00208336,0.008984346,0.3556632,,-0.001202979,0.05396862,0.2608963
42540.00219908,0.007184975,0.3562630,,-0.001202979,0.05816716,0.2650948
42540.00231482,0.005385604,0.3556632,,-0.001202979,0.06416506,0.2710927
42540.00243056,0.005385604,0.3538638,,-0.001202979,0.06416506,0.2704929
42540.00254631,0.007184975,0.3544636,,-0.001202979,0.06296548,0.2704929
42540.00266205,0.008984346,0.3538638,,-0.001202979,0.06056632,0.2716925
42540.00277778,0.009584136,0.3544636,,-0.001202979,0.06056632,0.2722923
42540.00289353,0.007784765,0.3520644,,-0.001202979,0.06236569,0.2752913
42540.00300926,0.009584136,0.3502651,,-0.002405566,0.06596443,0.2776904
42540.00312500,0.01078372,0.3478659,,-0.001202979,0.06416506,0.2746915
42540.00324074,0.009584136,0.3436674,,-0.001202979,0.05996653,0.2740917
42540.00335648,0.009584136,0.3400686,,-0.001202979,0.05816716,0.2764908
42540.00347222,0.01138351,0.3322714,,-0.001202979,0.06296548,0.2794898
42540.00358796,0.01438246,0.3238743,,-0.001202979,0.06296548,0.2782902
42540.00370370,0.01738141,0.3160770,,-0.001202979,0.06476485,0.2776904
42540.00381945,0.01738141,0.3094793,,-0.001202979,0.06656422,0.2788900
42540.00393519,0.01378267,0.3076799,,-0.001202979,0.06776380,0.2794898
42540.00405093,0.01258309,0.3082797,,-0.001202979,0.06356527,0.2776904
42540.00416667,0.01138351,0.3100791,,-0.001202979,0.06356527,0.2752913
42540.00428241,0.01138351,0.3142776,,-0.001202979,0.06476485,0.2740917
42540.00439815,0.01018393,0.3172766,,-0.001202979,0.06656422,0.2734919
42540.00451389,0.009584136,0.3214751,,-3.916211e-07,0.06716401,0.2722923
42540.00462963,0.009584136,0.3262734,,-0.001202979,0.06356527,0.2722923
42540.00474537,0.008384556,0.3298722,,-0.001202979,0.05816716,0.2704929
42540.00486111,0.006585184,0.3304720,,-0.001202979,0.05816716,0.2686936
42540.00497685,0.008384556,0.3298722,,-0.001202979,0.06056632,0.2692934
42540.00509259,0.008984346,0.3322714,,-0.001202979,0.06476485,0.2716925
42540.00520833,0.01018393,0.3298722,,-0.001202979,0.06836359,0.2740917
42540.00532408,0.01318288,0.3298722,,-3.916211e-07,0.06776380,0.2764908
42540.00543982,0.01438246,0.3310718,,-0.001202979,0.06476485,0.2770906
42540.00555556,0.01378267,0.3316716,,-0.001202979,0.06416506,0.2764908
42540.00567130,0.01258309,0.3298722,,-0.001202979,0.06536464,0.2764908
42540.00578704,0.01078372,0.3298722,,-0.001202979,0.06596443,0.2764908
42540.00590278,0.008984346,0.3298722,,-0.001202979,0.06296548,0.2746915
42540.00601852,0.008984346,0.3286726,,-0.001202979,0.06116611,0.2734919
42540.00613426,0.008384556,0.3274730,,-3.916211e-07,0.06116611,0.2734919
42540.00625000,0.01078372,0.3280728,,-0.001202979,0.06296548,0.2734919
42540.00636574,0.01078372,0.3274730,,-0.001202979,0.06656422,0.2728921
42540.00648148,0.01018393,0.3256737,,-0.001202979,0.06296548,0.2734919
42540.00659722,0.01018393,0.3262734,,-0.001202979,0.05996653,0.2722923
42540.00671296,0.01198330,0.3238743,,-0.001202979,0.06356527,0.2716925
42540.00682882,0.01078372,0.3214751,,-0.001202979,0.06956317,0.2728921
42540.00694455,0.01078372,0.3178764,,-0.001202979,0.06836359,0.2740917
42540.00706029,0.01258309,0.3178764,,-0.001202979,0.06836359,0.2752913
42540.00717603,0.01378267,0.3166768,,-0.001202979,0.06956317,0.2752913
42540.00729177,0.01138351,0.3136779,,-0.001202979,0.06956317,0.2734919
42540.00740750,0.01018393,0.3112787,,-0.001202979,0.06416506,0.2698932
42540.00752324,0.01018393,0.3118785,,-0.001202979,0.06356527,0.2704929
42540.00763899,0.01078372,0.3112787,,-0.001202979,0.06656422,0.2710927
42540.00775472,0.01318288,0.3118785,,-0.001202979,0.06596443,0.2686936
42540.00787046,0.01378267,0.3118785,,-0.001202979,0.06236569,0.2668942
42540.00798620,0.01018393,0.3100791,,-0.001202979,0.05876695,0.2644950
42540.00810194,0.008984346,0.3094793,,-0.001202979,0.05756737,0.2620959
42540.00821768,0.01138351,0.3100791,,-0.001202979,0.06356527,0.2668942
42540.00833342,0.01198330,0.3094793,,-0.001202979,0.06596443,0.2698932
42540.00844916,0.01198330,0.3094793,,-0.001202979,0.05876695,0.2662944
42540.00856489,0.01198330,0.3112787,,-0.001202979,0.05696758,0.2638953
42540.00868063,0.01258309,0.3112787,,-0.001202979,0.05936674,0.2638953
42540.00879637,0.01438246,0.3124783,,-0.001202979,0.06056632,0.2644950
42540.00891211,0.01198330,0.3094793,,-0.001202979,0.06176590,0.2656946
42540.00902785,0.01378267,0.3100791,,-0.001202979,0.06476485,0.2674940
42540.00914359,0.01498225,0.3082797,,-0.001202979,0.06416506,0.2638953
42540.00925933,0.01378267,0.3082797,,-0.001202979,0.05936674,0.2614961
42540.00937506,0.01138351,0.3076799,,-0.001202979,0.05936674,0.2620959
42540.00949080,0.01258309,0.3064804,,-0.001202979,0.06056632,0.2620959
42540.00960654,0.01558204,0.3064804,,-0.001202979,0.06056632,0.2620959
42540.00972228,0.01558204,0.3034814,,-0.001202979,0.05756737,0.2608963
42540.00983802,0.01618183,0.3040812,,-0.001202979,0.05456841,0.2608963
42540.00995376,0.01558204,0.3040812,,-0.001202979,0.05756737,0.2608963
42540.01006950,0.01318288,0.3016820,,-0.001202979,0.05876695,0.2590969
42540.01018523,0.01258309,0.3028816,,-0.001202979,0.05456841,0.2572976
42540.01030097,0.01318288,0.2998827,,-0.001202979,0.05216925,0.2578973
42540.01041671,0.01438246,0.2998827,,-0.001202979,0.05876695,0.2596967
42540.01053245,0.01498225,0.2998827,,-0.001202979,0.06176590,0.2560980
42540.01064819,0.01498225,0.2998827,,-0.001202979,0.05516820,0.2524992
42540.01076393,0.01678162,0.2998827,,-0.001202979,0.05396862,0.2530990
42540.01087967,0.01738141,0.2998827,,-0.001202979,0.05456841,0.2542986
42540.01099540,0.01618183,0.2986831,,-0.001202979,0.05336883,0.2542986
42540.01111114,0.01678162,0.2986831,,-0.001202979,0.05276904,0.2542986
42540.01122688,0.01798120,0.2980833,,-0.001202979,0.05336883,0.2560980
42540.01134262,0.01618183,0.3004825,,-0.001202979,0.05696758,0.2578973
42540.01145836,0.01618183,0.2998827,,-0.001202979,0.05636778,0.2554982
42540.01157410,0.01738141,0.3022818,,-0.001202979,0.05456841,0.2524992
42540.01168983,0.01618183,0.3058806,,-0.001202979,0.05696758,0.2518994
42540.01180557,0.01558204,0.3070802,,-0.001202979,0.05636778,0.2512997
42540.01192130,0.01318288,0.3076799,,-0.001202979,0.05876695,0.2554982
42540.01203705,0.01438246,0.3076799,,-0.002405566,0.06116611,0.2584971
42540.01215279,0.01618183,0.3076799,,-0.001202979,0.05936674,0.2572976
42540.01226853,0.01738141,0.3082797,,-0.001202979,0.05756737,0.2560980
42540.01238427,0.01738141,0.3076799,,-3.916211e-07,0.05576799,0.2524992
42540.01250000,0.01438246,0.3076799,,-0.001202979,0.04917030,0.2489005
42540.01261574,0.01318288,0.3076799,,-0.001202979,0.05036988,0.2518994
42540.01273148,0.01438246,0.3082797,,-0.001202979,0.05396862,0.2548984
42540.01284722,0.01738141,0.3076799,,-0.001202979,0.05636778,0.2566978
42540.01296296,0.01558204,0.3058806,,-0.001202979,0.05996653,0.2578973
42540.01307870,0.01258309,0.3028816,,-0.001202979,0.06056632,0.2578973
42540.01319445,0.01498225,0.3022818,,-0.001202979,0.05936674,0.2560980
42540.01331019,0.02098015,0.2986831,,-3.916211e-07,0.05816716,0.2554982
42540.01342593,0.02157994,0.2920854,,-0.001202979,0.05816716,0.2542986
42540.01354167,0.02337931,0.2878869,,-0.001202979,0.05876695,0.2548984
42540.01365741,0.02517869,0.2818890,,-0.001202979,0.06116611,0.2560980
