TheTime,CH1,CH2,CH3,CH6,CH7
44028.00011574,0.4420431,0.4457015,0.4380374,0.002515661,0.3571332
44028.00023148,0.4420431,0.4457015,0.4380374,0.002515661,0.002515661
44028.00034722,0.4420431,0.4406378,0.4380374,0.002515661,0.002515661
44028.00046296,0.4420431,0.4406378,0.4380374,0.2973326,0.002515661
44028.00057871,0.4420431,0.4406378,0.4380374,0.4163358,0.1855055
44028.00069445,0.4420431,0.4457015,0.4380374,0.3918175,0.4282959
44028.00081019,0.4471123,0.4457015,0.4380374,0.002515661,0.2895585
44028.00092595,0.4420431,0.4406378,0.4329682,0.002515661,0.002515661
44028.00104170,0.4420431,0.4355740,0.4380374,0.4193258,0.1502231
44028.00115745,0.4369739,0.4457015,0.4380374,0.002515661,0.1125488
44028.00127320,0.4420431,0.4406378,0.4380374,0.4211198,0.1346750
44028.00138896,0.4369739,0.4457015,0.4380374,0.3738774,0.4247079
44028.00150471,0.4471123,0.4457015,0.4329682,0.002515661,0.3631132
44028.00162046,0.4420431,0.4406378,0.4380374,0.002515661,0.002515661
44028.00173621,0.4471123,0.4406378,0.4380374,0.002515661,0.002515661
44028.00185196,0.4420431,0.4457015,0.4329682,0.4091597,0.06291426
44028.00196759,0.4420431,0.4406378,0.4380374,0.002515661,0.002515661
44028.00208333,0.4420431,0.4406378,0.4380374,0.4061697,0.04736611
44028.00219907,0.4420431,0.4406378,0.4380374,0.3523491,0.4157378
44028.00231482,0.4420431,0.4406378,0.4380374,0.002515661,0.1896915
44028.00243056,0.4369739,0.4457015,0.4380374,0.002515661,0.002515661
44028.00254630,0.4420431,0.4406378,0.4329682,0.4175318,0.09580459
44028.00266204,0.4420431,0.4457015,0.4380374,0.4001896,0.4318839
44028.00277778,0.4471123,0.4406378,0.4380374,0.3427810,0.4151398
44028.00289353,0.4420431,0.4406378,0.4380374,0.002515661,0.2728144
44028.00300928,0.4369739,0.4406378,0.4380374,0.002515661,0.002515661
44028.00312503,0.4420431,0.4457015,0.4380374,0.4139438,0.2512861
44028.00324078,0.4420431,0.4406378,0.4380374,0.002515661,0.1478311
44028.00335653,0.4420431,0.4406378,0.4380374,0.4097577,0.2752064
44028.00347228,0.4420431,0.4457015,0.4380374,0.002515661,0.1382630
44028.00358803,0.4420431,0.4406378,0.4329682,0.3816514,0.002515661
44028.00370378,0.4420431,0.4457015,0.4380374,0.002515661,0.002515661
44028.00381953,0.4420431,0.4406378,0.4380374,0.002515661,0.3649073
44028.00393528,0.4420431,0.4457015,0.4380374,0.002515661,0.002515661
44028.00405103,0.4369739,0.4457015,0.4329682,0.3822494,0.01268176
44028.00416678,0.4471123,0.4457015,0.4431066,0.4043757,0.4342760
44028.00428241,0.4420431,0.4406378,0.4380374,0.4037777,0.03660200
44028.00439815,0.4471123,0.4457015,0.4431066,0.4205218,0.1227149
44028.00451389,0.4420431,0.4406378,0.4380374,0.4037777,0.3248409
44028.00462963,0.4420431,0.4457015,0.4380374,0.3583292,0.4151398
44028.00474537,0.4471123,0.4406378,0.4329682,0.002515661,0.2650403
44028.00486111,0.4420431,0.4457015,0.4431066,0.002515661,0.002515661
44028.00497685,0.4369739,0.4406378,0.4380374,0.3774654,0.4247079
44028.00509259,0.4420431,0.4406378,0.4329682,0.002515661,0.002515661
44028.00520834,0.4420431,0.4457015,0.4380374,0.3774654,0.002515661
44028.00532409,0.4471123,0.4406378,0.4431066,0.4205218,0.1436451
44028.00543984,0.4420431,0.4406378,0.4431066,0.4007876,0.4336780
44028.00555559,0.4420431,0.4406378,0.4380374,0.3086947,0.4139438
44028.00567134,0.4420431,0.4457015,0.4380374,0.3595252,0.4193258
44028.00578708,0.4420431,0.4406378,0.4380374,0.4043757,0.3547412
44028.00590283,0.4420431,0.4457015,0.4380374,0.4145418,0.2076317
44028.00601858,0.4420431,0.4406378,0.4431066,0.4037777,0.3212528
44028.00613433,0.4420431,0.4457015,0.4329682,0.4043757,0.3152728
44028.00625008,0.4471123,0.4406378,0.4329682,0.3804554,0.003711672
44028.00636583,0.4420431,0.4457015,0.4380374,0.002515661,0.1747414
44028.00648158,0.4420431,0.4457015,0.4329682,0.4133457,0.2465021
44028.00659733,0.4471123,0.4406378,0.4329682,0.002515661,0.002515661
44028.00671296,0.4369739,0.4457015,0.4329682,0.002515661,0.002515661
44028.00682870,0.4420431,0.4457015,0.4329682,0.002515661,0.002515661
44028.00694445,0.4420431,0.4457015,0.4329682,0.002515661,0.002515661
44028.00706019,0.4420431,0.4457015,0.4431066,0.002515661,0.002515661
44028.00717593,0.4420431,0.4457015,0.4329682,0.3858375,0.01746581
44028.00729167,0.4420431,0.4457015,0.4431066,0.4127477,0.4145418
44028.00740741,0.4420431,0.4406378,0.4380374,0.002515661,0.2961366
44028.00752315,0.4420431,0.4406378,0.4380374,0.3858375,0.01686780
44028.00763889,0.4420431,0.4457015,0.4380374,0.02344587,0.3918175
44028.00775464,0.4420431,0.4406378,0.4329682,0.002515661,0.002515661
44028.00787039,0.4420431,0.4457015,0.4380374,0.4127477,0.2094257
44028.00798614,0.4420431,0.4457015,0.4431066,0.4043757,0.4306879
44028.00810189,0.4420431,0.4507653,0.4380374,0.3900235,0.4259039
44028.00821764,0.4420431,0.4406378,0.4329682,0.003113667,0.3852395
44028.00833339,0.4420431,0.4457015,0.4380374,0.002515661,0.002515661
44028.00844914,0.4420431,0.4507653,0.4380374,0.3924155,0.4306879
44028.00856489,0.4420431,0.4406378,0.4329682,0.002515661,0.002515661
44028.00868064,0.4420431,0.4507653,0.4380374,0.1938776,0.4091597
44028.00879639,0.4471123,0.4406378,0.4380374,0.01626980,0.002515661
44028.00891213,0.4420431,0.4457015,0.4380374,0.3930135,0.4318839
44028.00902788,0.4420431,0.4406378,0.4329682,0.002515661,0.002515661
44028.00914352,0.4420431,0.4406378,0.4380374,0.002515661,0.002515661
44028.00925926,0.4420431,0.4457015,0.4380374,0.4151398,0.3924155
44028.00937500,0.4420431,0.4406378,0.4380374,0.002515661,0.002515661
44028.00949074,0.4420431,0.4457015,0.4380374,0.002515661,0.3541432
44028.00960648,0.4420431,0.4406378,0.4380374,0.4091597,0.3678973
44028.00972222,0.4420431,0.4406378,0.4380374,0.4025816,0.3200568
44028.00983796,0.4420431,0.4457015,0.4380374,0.4013856,0.4330799
44028.00995370,0.4471123,0.4406378,0.4380374,0.3977976,0.4318839
44028.01006945,0.4420431,0.4406378,0.4380374,0.4163358,0.1825155
44028.01018519,0.4420431,0.4457015,0.4329682,0.3589272,0.002515661
44028.01030094,0.4471123,0.4406378,0.4380374,0.002515661,0.002515661
44028.01041669,0.4420431,0.4457015,0.4380374,0.4001896,0.03480798
44028.01053245,0.4420431,0.4406378,0.4380374,0.4169338,0.1813194
44028.01064820,0.4420431,0.4406378,0.4380374,0.4187278,0.1657713
44028.01076396,0.4471123,0.4406378,0.4431066,0.4187278,0.1693593
44028.01087971,0.4420431,0.4406378,0.4329682,0.4109537,0.4211198
44028.01099546,0.4420431,0.4406378,0.4380374,0.002515661,0.002515661
44028.01111122,0.4420431,0.4406378,0.4329682,0.4031796,0.3182628
